[2026-07-03 11:49:42] [INFO    ] discord.client: logging in using static token
[2026-07-03 11:49:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'KhaosCounting', 'primary_guild': None, 'mfa_enabled': False, 'id': '1522479032111730778', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2436', 'clan': None, 'bot': True, 'avatar': 'aa0b616ea9b4c089de5c8bb33f3ba0a6'}, 'session_type': 'normal', 'session_id': '4805146c7d219ee6cb92df73414aeb45', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1457821391469674645'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'atlanta', 'us-south', 'us-east', 'newark'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1522479032111730778', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-5htx",{"micros":154438,"calls":["id_created",{"micros":862,"calls":[]},"session_lookup_time",{"micros":421,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-b-93",{"micros":152641,"calls":["start_session",{"micros":123801,"calls":["prd-rpc-5cbd9db6f7-dvlzs",{"micros":39067,"calls":["get_user",{"micros":5925},"get_guilds",{"micros":9138},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":1325},"apex_experiments",{"micros":70444},"sessions_experiments",{"micros":7},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":34,"calls":[]},"presence_started",{"micros":386,"calls":[]},"guilds_started",{"micros":78,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":28310,"calls":[]},"connect_finished",{"micros":28325,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-07-03 11:49:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:49:43] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4805146c7d219ee6cb92df73414aeb45).
[2026-07-03 11:49:43] [DEBUG   ] discord.client: Dispatching event connect
[2026-07-03 11:49:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:49:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:49:43] [DEBUG   ] discord.state: Processed a chunk for 18 members in guild ID 1457821391469674645.
[2026-07-03 11:49:45] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-07-03 11:49:45] [DEBUG   ] discord.client: Dispatching event ready
[2026-07-03 11:49:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-07-03T16:49:53.067000+00:00', 'pinned': False, 'nonce': '1522645568533299200', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457845231755198616'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T19:41:44.856000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1522645569128894566', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'H', 'components': [], 'channel_type': 0, 'channel_id': '1459330946150043811', 'author': {'username': 'unseeinganarchist', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '1291836826822115458', 'global_name': 'Unseeing Anarchist', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': None, 'avatar': '4599fda2065333847ea9567394cd7984'}, 'attachments': [], 'guild_id': '1457821391469674645'}}
[2026-07-03 11:49:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:49:52] [DEBUG   ] discord.client: Dispatching event message
[2026-07-03 11:49:52] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1459330946150043811/messages with None has returned 200
[2026-07-03 11:49:52] [DEBUG   ] discord.http: GET /channels/{channel_id}/messages has found its initial rate limit bucket hash (f9f85e747f3e8c1f8f7728d616c030bf).
[2026-07-03 11:49:52] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1459330946150043811/messages has received [{'type': 0, 'content': 'H', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-07-03T16:49:53.067000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1522645569128894566', 'channel_id': '1459330946150043811', 'author': {'id': '1291836826822115458', 'username': 'unseeinganarchist', 'avatar': '4599fda2065333847ea9567394cd7984', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Unseeing Anarchist', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}, {'type': 0, 'content': '1153', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-07-03T14:54:51.217000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1522616620671827970', 'channel_id': '1459330946150043811', 'author': {'id': '1291836826822115458', 'username': 'unseeinganarchist', 'avatar': '4599fda2065333847ea9567394cd7984', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Unseeing Anarchist', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}]
[2026-07-03 11:49:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 5, 'op': 0, 'd': {'id': '1522645569128894566', 'channel_id': '1459330946150043811', 'guild_id': '1457821391469674645'}}
[2026-07-03 11:49:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:49:52] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2026-07-03 11:49:52] [DEBUG   ] discord.client: Dispatching event message_delete
[2026-07-03 11:49:52] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1459330946150043811/messages/1522645569128894566 with None has returned 204
[2026-07-03 11:49:52] [DEBUG   ] discord.http: DELETE /channels/{channel_id}/messages/{message_id}:sub-10-seconds has found its initial rate limit bucket hash (5377a11f5f12e64df4c68b9851882313).
[2026-07-03 11:49:52] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1459330946150043811/messages/1522645569128894566 has received 
[2026-07-03 11:49:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-07-03T16:49:55.719000+00:00', 'pinned': False, 'nonce': '1522645579383963648', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457845231755198616'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T19:41:44.856000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1522645580252315689', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'H', 'components': [], 'channel_type': 0, 'channel_id': '1459330946150043811', 'author': {'username': 'unseeinganarchist', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '1291836826822115458', 'global_name': 'Unseeing Anarchist', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': None, 'avatar': '4599fda2065333847ea9567394cd7984'}, 'attachments': [], 'guild_id': '1457821391469674645'}}
[2026-07-03 11:49:54] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:49:54] [DEBUG   ] discord.client: Dispatching event message
[2026-07-03 11:49:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1459330946150043811/messages with None has returned 200
[2026-07-03 11:49:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1459330946150043811/messages has received [{'type': 0, 'content': 'H', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-07-03T16:49:55.719000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1522645580252315689', 'channel_id': '1459330946150043811', 'author': {'id': '1291836826822115458', 'username': 'unseeinganarchist', 'avatar': '4599fda2065333847ea9567394cd7984', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Unseeing Anarchist', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}, {'type': 0, 'content': '1153', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-07-03T14:54:51.217000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1522616620671827970', 'channel_id': '1459330946150043811', 'author': {'id': '1291836826822115458', 'username': 'unseeinganarchist', 'avatar': '4599fda2065333847ea9567394cd7984', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Unseeing Anarchist', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}]
[2026-07-03 11:49:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 7, 'op': 0, 'd': {'id': '1522645580252315689', 'channel_id': '1459330946150043811', 'guild_id': '1457821391469674645'}}
[2026-07-03 11:49:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:49:55] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2026-07-03 11:49:55] [DEBUG   ] discord.client: Dispatching event message_delete
[2026-07-03 11:49:55] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1459330946150043811/messages/1522645580252315689 with None has returned 204
[2026-07-03 11:49:55] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1459330946150043811/messages/1522645580252315689 has received 
[2026-07-03 11:50:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '1291836826822115458', 'timestamp': 1783097408, 'member': {'user': {'username': 'unseeinganarchist', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '1291836826822115458', 'global_name': 'Unseeing Anarchist', 'display_name_styles': None, 'display_name': 'Unseeing Anarchist', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '4599fda2065333847ea9567394cd7984'}, 'roles': ['1457845231755198616'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T19:41:44.856000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1459330946150043811', 'guild_id': '1457821391469674645'}}
[2026-07-03 11:50:07] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:50:07] [DEBUG   ] discord.client: Dispatching event typing
[2026-07-03 11:50:07] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-07-03 11:50:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-07-03T16:50:09.005000+00:00', 'pinned': False, 'nonce': '1522645635499556864', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457845231755198616'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T19:41:44.856000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1522645635977707590', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '1154', 'components': [], 'channel_type': 0, 'channel_id': '1459330946150043811', 'author': {'username': 'unseeinganarchist', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '1291836826822115458', 'global_name': 'Unseeing Anarchist', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': None, 'avatar': '4599fda2065333847ea9567394cd7984'}, 'attachments': [], 'guild_id': '1457821391469674645'}}
[2026-07-03 11:50:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-03 11:50:08] [DEBUG   ] discord.client: Dispatching event message
[2026-07-03 11:50:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1459330946150043811/messages with None has returned 200
[2026-07-03 11:50:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1459330946150043811/messages has received [{'type': 0, 'content': '1154', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-07-03T16:50:09.005000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1522645635977707590', 'channel_id': '1459330946150043811', 'author': {'id': '1291836826822115458', 'username': 'unseeinganarchist', 'avatar': '4599fda2065333847ea9567394cd7984', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Unseeing Anarchist', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}, {'type': 0, 'content': '1153', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-07-03T14:54:51.217000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1522616620671827970', 'channel_id': '1459330946150043811', 'author': {'id': '1291836826822115458', 'username': 'unseeinganarchist', 'avatar': '4599fda2065333847ea9567394cd7984', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Unseeing Anarchist', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}]
